Volatile_compounds,Analysis_method
(Z)-Hex-3-en-1-ol,GC-MS
2-Hexenal,GC 和 GC-MS
"2,6-Dimethyl-2,4,6-octatriene",GC 和 GC-MS
Carvacrol,GC 和 GC-MS
"4,5-di-epi-aristolochene",GC-MS
3-Pentadecylphenol,GC 和 GC-MS
cis-Beta-Ocimene,GC 和 GC-MS
Trans-Beta-Ocimene,GC 和 GC-MS
Ferruginol,GC 和 GC-MS
"(E,E,E)-3,7,11,15-四甲基-1,3,6,10,14-十六碳五烯",GC 和 GC-MS
"1,3,5-Tris(Trimethylsilyl)Benzene",GC 和 GC-MS
Beta-Bisabolol,GC 和 GC-MS
Methyl Cinnamate,GC 和 GC-MS
Cyclododecanone,GC 和 GC-MS
cis-4-(Isopropyl)-1-methylcyclohex-2-en-1-ol,GC 和 GC-MS
Dibutyl glutarate,GC 和 GC-MS
Sylvestrene,GC 和 GC-MS
(Z)-7-Hexadecenal,GC 和 GC-MS
Ethyl palmitate,GC 和 GC-MS
Adipic Acid Bis(2-Methoxypropyl) Ester,GC 和 GC-MS
Diisobutyl Succinate,GC 和 GC-MS
Hedycaryol,GC 和 GC-MS
(+)-1(10)-Spirovetiven-7beta-Ol,GC-MS
157110-33-3,GC-MS
Trans-Alpha-Bergamotene,GC-FID 和 GC-MS
Caryophyllene,GC-FID 和 GC-MS
beta-Bisabolene,GC-FID 和 GC-MS
cis-alpha-Bisabolene,GC-FID 和 GC-MS
Germacrene D,GC-FID 和 GC-MS
Bicyclogermacrene,GC-FID 和 GC-MS
beta-Elemene,GC-FID 和 GC-MS
Bicycloelemene,GC-FID 和 GC-MS
alpha-Pinene,GC-FID 和 GC-MS
alpha-Humulene,GC-FID 和 GC-MS
Caryophyllene oxide,GC-FID 和 GC-MS
trans-alpha-Bergamotol,GC-FID 和 GC-MS
Spathulenol,GC-FID 和 GC-MS
cis-beta-Farnesene,GC-FID 和 GC-MS
beta-Phellandrene,GC-FID 和 GC-MS
Bicycloelemene,GC-MS
"4',5,6,7-Tetramethoxyflavone",GC-MS
"1-(9-硼双环 [3.3.1]壬烷基)-4-乙基-3,5-二叔丁基吡唑",GC-MS
"2,6-DI-Tert-butylphenol",GC-MS
Metilox,GC-MS
Methyl Henicosanoate,GC-MS
Methyl Trans-6-Octadecenoate,GC-MS
Methylcodeine,GC-MS
"E,E-2,6-dimethyl-3,5-octatetraene",GC-MS
Trans-dihydrocarvone,GC-MS
R-carvone,GC-MS
1-methoxy-4-[1-propenyl]-benzene,GC-MS
ligustilide,GC-MS
butylidne P,GC-MS
Piperonal,GC-MS
trans-p-Menth-1-en-3-ol,GC-MS
"1,4,7,-Cycloundecatriene",GC-MS
beta-barbatene,GC-MS
Endo-Bornyl Acetate,GC-MS
(Z)-3-Butylidenephthalide,GC-MS
Hexadecenoic acid,GC-MS
"2,3,6-Trimethylbenzaldehyde",GC-MS
Pentylbenzene,GC-MS
"Muurola-4,11-diene",GC-MS
Trans-.Alpha.-Bergamotol,GC-MS
"1-(4-Chlorophenyl)-3-imidazol-1-yl-4,4-dimethylpentan-1-one",GC-MS
9-Octadecen-12-Ynoic Acid Methyl Ester,GC-MS
"2,4-D 2-Ethylhexyl ester",GC-MS
3-(Hydroxymethyl)-1-phenyl-1-heptadecyn-3-ol,GC-MS
(+)-Sativene,GC-MS
SCHEMBL406192,GC-MS
"10-Tetradecen-1-ol, acetate, (Z)-",GC-MS
"9H-Pyrrolo[3',4':3,4]pyrrolo[2,1-a]phthalazine-9,11(10H)-dione, 10-ethyl-8-phenyl",GC-MS
4-Butoxybutan-1-Ol,GC-MS
2-Isononenal,GC-MS
Glycol dimercaptoacetate,GC-MS
Dodecyl Acrylate,GC-MS
"Phen-1,4-Diol, 2,3-Dimethyl-5-Trifluoromethyl-",GC-MS
Octaethylene glycol monododecyl ether,GC-MS
Safrole,GC 和 GC-MS
cis-Dihydrocarvone,GC 和 GC-MS
trans-Carveol,GC 和 GC-MS
Isodihydrocarveol,GC 和 GC-MS
"trans-p-Mentha-2,8-diene-1-ol",GC 和 GC-MS
"cis-p-Mentha-2,8-diene-1-ol",GC 和 GC-MS
trans-Dihydrocarvone,GC 和 GC-MS
Perillaldehyde,GC 和 GC-MS
gamma-Curcumene,GC 和 GC-MS
Menthone,GC 和 GC-MS
Perillyl Acetate,GC 和 GC-MS
"3(10)-caren-4-ol,acetoacetic acid ester",GC 和 GC-MS
Osthole,GC 和 GC-MS
Ar-Turmerone,GC 和 GC-MS
Myrtene Acid Bromide,GC 和 GC-MS
Myristicin,GC 和 GC-MS
"Benzene, 1,2-Dimethoxy-4-(1-Propenyl)-",GC 和 GC-MS
Isomyristicin,GC 和 GC-MS
"6-butyl-1,4-cycloheptadiene",GC 和 GC-MS
"Bicyclo[4.1.0]hept-2-ene,3,7,7-trimethyl-",GC 和 GC-MS
m-Cymene,GC 和 GC-MS
Elemicin,GC 和 GC-MS
Butanal,GC 和 GC-MS
2E-Decenal,GC 和 GC-MS
2-Decen-1-Ol,GC 和 GC-MS
1-Decanol,GC 和 GC-MS
2-Tridecenal,GC 和 GC-MS
Trans-2-Dodecenal,GC 和 GC-MS
Undecanol,GC 和 GC-MS
Undecanal,GC 和 GC-MS
1-Undecanol,GC 和 GC-MS
Trans-2-Undecen-1-ol,GC 和 GC-MS
Nonane,GC 和 GC-MS
Tridecanal,GC 和 GC-MS
3-Dodecen-1-al,GC 和 GC-MS
n-Octanal,GC 和 GC-MS
trans-Farnesene,GC 和 GC-MS
beta-Himachalene,GC 和 GC-MS
alpha-Farnesene,GC 和 GC-MS
(+)-Cuparene,GC 和 GC-MS
alpha-Chamigrene,GC 和 GC-MS
4-Isopropylbenzaldehyde,GC 和 GC-MS
O-Cymene,GC 和 GC-MS
2-Caren-10-al,GC 和 GC-MS
Phellandral,GC 和 GC-MS
cis-Sabinene hydrate,GC 和 GC-MS
Carotol,GC-FID 和 GC-MS
Daucene,GC-FID 和 GC-MS
"(Z,Z)-alpha-farnesene",GC-FID 和 GC-MS
Trans-beta-bergamotene,GC-FID 和 GC-MS
beta-selinene,GC-FID 和 GC-MS
alpha-selinene,GC-FID 和 GC-MS
(-)-beta-Sesquiphellandrene,GC-FID 和 GC-MS
Daucol,GC-FID 和 GC-MS
Limonene,GC-FID 和 GC-MS
"2,4,5-trimethylbenzaldehyde",GC 和 GC-MS
(E)-2-dodecenal,GC 和 GC-MS
carotol,GC 和 GC-MS
3-dodecenal,GC 和 GC-MS
1-Dodecanol,GC 和 GC-MS
"2,4,6-trimethylbenzaldehyde",GC 和 GC-MS
tetradecanal,GC 和 GC-MS
Anetholee,GC 和 GC-MS
"6,10,14-Trimethylpentadecan-2-one",GC 和 GC-MS
cis-Chrysanthenyl octanoate,GC 和 GC-MS
Fenchyl acetate,GC 和 GC-MS
cis-Chrysanthenyl acetate,GC 和 GC-MS
cis-Chrysanthenyl hexanoate,GC 和 GC-MS
cis-Chrysanthenyl butanoate,GC 和 GC-MS
Octanal,GC 和 GC-MS
"2,3,6-Trimethylbenzaldehyde",GC 和 GC-MS
Hotrienol,GC 和 GC-MS
"4,10-Aromadendranediol",GC 和 GC-MS
(S)-Falcarinol,GC 和 GC-MS
"2,3,4-Trimethylbenzaldehyde",GC 和 GC-MS
(E)-gamma-Atlantone,GC 和 GC-MS
Isophorone,GC 和 GC-MS
cis-Chrysanthenyl propionate,GC 和 GC-MS
A-Bergamotene Synthase,GC 和 GC-MS
1123-77-9,GC-MS
Neoisolongifolene-8-ol,GC-MS
Propyl octanoate,GC-MS
Tetramethyl pyrazine,GC-MS
3-Butylidenephthalide,GC-MS
"pentylcyclohexa-1,5-diene    cyclohexa-1,5-diene",GC-MS
trans-sabinyl acetate,GC-MS
methyl hexadecenoate,GC-MS
(E)-ligustilide,GC-MS
"2,3-Dehydro-1,8-Cineole",GC-MS
trans-2-decenal,GC-MS
m-Phenylenediamine,GC-MS
"5-Allyl-1,2,3-trimethoxybenzene",GC-MS
5-Oxo-.Delta.4-Decahydrobenzindene,GC-MS
"(1S,2S)-Dictyopterene?A",GC-MS
gamma-Asarone,GC-MS
(+)-Bicyclogermacrene,GC-MS
Pinane,GC-MS
"4,4,6-Trimethyl-cyclohex-2-en-1-ol",GC-MS
3724-42-3,GC-MS
"1,3,8-p-menthatriene",GC 和 GC-MS
apiole,GC 和 GC-MS
pulegone,GC 和 GC-MS
delta-carene,GC 和 GC-MS
Thymol Methyl Ether,GC 和 GC-MS
"2,4-Decadienal",GC 和 GC-MS
pinocarvone,GC 和 GC-MS
trans-Pseudoisoeugenyl 2-methylbutyrate,GC 和 GC-MS
gamma-Himachalene,GC 和 GC-MS
1H-Benzocycloheptene,GC 和 GC-MS
Sesquiphellandrene,GC 和 GC-MS
(-)-beta-Chamigrene,GC 和 GC-MS
Cycloundecatriene,GC 和 GC-MS
"2,6-DI-Tert-butylphenol",GC 和 GC-MS
cyclodecadiene,GC 和 GC-MS
Eudesm-7(11)-en-4-ol,GC-MS
(+)-alpha-Cyperone,GC-MS
"Tricyclo[5.2.2.0(1,6)]Undecan-3-Ol, 2-Methylene-6,8,8-Trimethyl-",GC-MS
Widdrol,GC-MS
Isolongifolan-8-ol,GC-MS
Mesitylene,GC-MS
"(3R,6R)-6-ethenyl-2,2,6-trimethyloxan-3-ol",GC-MS
"1,2,4-Trimethylbenzene",GC-MS
Linolenic acid ethyl ester,GC 和 GC-MS
Methyleugenol,GC 和 GC-MS
Farnesyl acetone,GC 和 GC-MS
Dehydroabietic acid,GC 和 GC-MS
(Z)-9-Tricosene,GC 和 GC-MS
trans-Sabinene hydrate,GC 和 GC-MS
"2,6-Di-tert-butyl-P-benzoquinone",GC 和 GC-MS
Methyl linolenate,GC 和 GC-MS
Methyl linoleate,GC 和 GC-MS
Widdrol,GC 和 GC-MS
"trans-2,cis-6-Nonadienal",GC 和 GC-MS
Geranyl Linalool,GC 和 GC-MS
n-Hexatriacontane,GC 和 GC-MS
Linolenic acid,GC 和 GC-MS
Oleic Acid,GC 和 GC-MS
"Octadecanoic acid, 12-hydroxy-, homopolymer, octadecanoate",GC 和 GC-MS
Heneicosane,GC 和 GC-MS
Geranyl phenylacetate,GC 和 GC-MS
604951,GC-MS
Taraxerone,GC-MS
alpha-Amyrin,GC-MS
Isopropanol,GC-MS
n-Nonanal,GC-MS
Theaspirane,GC-MS
(+)-2-Carene,GC-MS
cis-Limonene oxide,GC-MS
Lavender lactone,GC-MS
Jasmonyl acetate,GC-MS
Ethyl 2-Methyl-2(Z)-Pentenoate,GC-MS
Dihydroroseoxide,GC-MS
Dihydrolinalool,GC-MS
"(Z)-2,6-Dimethyl-2,7-Octadien-1,6-Diol",GC-MS
"(E)-2,6-Dimethyl-2,7-Octadiene-1,6-Diol",GC-MS
6-Methyl-tridecane,GC-MS
Dihydroactindiolide,GC-MS
Citral,GC 和 GC-MS
Neral,GC 和 GC-MS
Isocamphane,GC 和 GC-MS
saussurea lactone,GC-MS
28231-03-0,GC-MS
rhodinal,GC-MS
"9,12-Octadecadiynoic Acid",GC-MS
Beta-Spathulene,GC-MS
Butyl benzoate,GC-MS
cyclodecene,GC-MS
反式-豆甾烯,GC-MS
邻?烯,GC-MS
豆甾烯-5-醇,GC-MS
Benzyl Butyl Phthalate,GC-MS
10-(Acetylmethyl)-(+)-3-carene,GC-MS
"2-(4-Methoxyphenyl)-2-methyl-1,3-dioxolane",GC-MS
"3-(1,3-Benzodioxol-5-yl)-5-[(4-iodo-1H-pyrazol-1-yl)methyl]-1,2,4-oxadiazole",GC-MS
"(2R,4aR,8aR)-1,2,3,4,4a,5,6,8a-Octahydro-4a,8-dimethyl-2-(1-methylethenyl)-naphthalene",GC-MS
Arachidic acid,GC-MS
3-羟基-2-(2-环己甲基-1-稀基)丙醛,GC-MS
"1-环甘菊环- 1,1,7-三甲基-4-亚甲基-香紫苏内酯",GC-MS
Capsidiol,GC-MS
62234-75-7,GC-MS
4045-44-7,GC-MS
methanol,GC-MS
propanal,GC-MS
Isobutyraldehyde,GC-MS
butanal,GC-MS
1-propanol,GC-MS
1-penten-3-one,GC-MS
3-Pentanone,GC-MS
3-pentanol,GC-MS
2-Pentenal,GC-MS
3-methylbutan-1-ol,GC-MS
3-Butenyl isothiocyanate,GC-MS
"2,3-octanedione",GC-MS
1-hexyl acetate,GC-MS
cis-3-hexenyl propionate,GC-MS
"1,6-Germacradien-5-ol",GC-MS
2-Acetylcyclopentanone,GC-MS
Dehydrosabinaketone,GC-MS
trans-Sabinol,GC-MS
Ethyl pyruvate,GC-MS
M216,GC-MS
M204,GC-MS
M206,GC-MS
beta-Copaen-4-alpha-ol,GC-MS
Cubeban-11-ol,GC-MS
Junenol,GC-MS
alpha-Muurol,GC-MS
"9,12,15-Octadecatrien-1-ol",GC-MS
Chrysanthenone,GC-MS
Isobornyl propionate,GC-MS
"(5Z)-4,10-dimethylidene-7-propan-2-ylcyclodec-5-en-1-ol",GC-MS
2-Decen-1-ol,GC-MS
beta-Oplopenone,GC-MS
"Bicyclo[2.2.1]heptan-2-one, 7,7-dimethyl-",GC-MS
"4-Decen-1-ol, (Z)-",GC-MS
"3,4-Octadiene, 7-methyl-",GC-MS
4-Methoxyphenol,GC-MS
3-Cyclopentyl-1-propanol,GC-MS
4'-Methylacetophenone,GC-MS
3-Decyn-2-ol,GC-MS
3-Dodecanol,GC-MS
3-Methyl-1-pentanol,GC-MS
7-Methyl-1-octene,GC-MS
3-Methyldecane,GC-MS
Octen-3-ol butanoate (1-),GC-MS
"3,7,11,15-Tetramethylhexadec-1-yn-3-ol",GC 和 GC-MS
"1,5,5,8-Tetramethyl-12-oxabicyclo[9.1.0]dodeca-3,7-diene",GC 和 GC-MS
Z-8-Methyl-9-tetradecenoic acid,GC 和 GC-MS
"2,4-Di-tert-butylphenol",GC 和 GC-MS
Octadecanal,GC 和 GC-MS
"4,8,12,16-Tetramethylheptadecan-4-olide",GC 和 GC-MS
Methyl palmitate,GC 和 GC-MS
Isoaromadendrene epoxide,GC 和 GC-MS
Hexadecanal,GC 和 GC-MS
Epiglobulol,GC 和 GC-MS
"2,6,10,14-Tetramethyloctadecane",GC-MS
Methyl salicylate,GC-EI-MS
Linalool,GC-EI-MS
Phytol,GC-EI-MS
Geraniol,GC-EI-MS
Nonanal,GC-EI-MS
Ethyl 2-hydroxy-5-methylbenzoate,GC-EI-MS
Methyl palmitate,GC-EI-MS
Myristic acid,GC-EI-MS
Lauric acid,GC-EI-MS
Benzyl salicylate,GC-EI-MS
Caryophyllene,GC-EI-MS
Pentacosane,GC-EI-MS
Tetradecanal,GC-EI-MS
Eucalyptol,GC-EI-MS
Nerol,GC-EI-MS
Germacrene D,GC-EI-MS
(+)-delta-Cadinene,GC-EI-MS
Copaene,GC-EI-MS
(-)-gamma-Cadinene,GC-EI-MS
alpha-Cadinol,GC-EI-MS
"(1R,4R,4aR,6S,8aR)-1,6-dimethyl-4-propan-2-yl-3,4,4a,5,6,7,8,8a-octahydro-2H-naphthalen-1-ol",GC-EI-MS
Isocaryophyllene,GC-EI-MS
alpha-Muurolene,GC-EI-MS
"(1S,4aS,8aR)-1-isopropyl-7-methyl-4-methylene-1,2,3,4,4a,5,6,8a-octahydronaphthalene",GC-EI-MS
Humulene,GC-EI-MS
Allo-Aromadendrene,GC-EI-MS
gamma-Amorphene,GC-EI-MS
Zonarene,GC-EI-MS
(+)-alpha-Cadinene,GC-EI-MS
Junenol,GC-EI-MS
Octadecane,GC-EI-MS
Heptadecane,GC-EI-MS
Pyruvic acid,GC-EI-MS
Nonadecane,GC-EI-MS
7-Hexyltridecane,GC-EI-MS
1-Heptadecene,GC-EI-MS
Eicosane,GC-EI-MS
Phytane,GC-EI-MS
4-Methylheptadecane,GC-EI-MS
Pristane,GC-EI-MS
Hexadecane,GC-EI-MS
"2,6,11,15-Tetramethylhexadecane",GC-EI-MS
7-Ethyl-2-methyl-4-undecanol,GC-EI-MS
1-Hexadecanol,GC-EI-MS
2-Methylheptadecane,GC-EI-MS
"(2Z,6E)-Farnesyl acetate",GC 和 GC-MS
Occidentalol acetate,GC 和 GC-MS
Ishwarane,GC 和 GC-MS
Nerolidyl acetate,GC 和 GC-MS
"(E,Z)-farnesol",GC 和 GC-MS
Eucarvone,GC 和 GC-MS
cis-beta-Farnesene,GC 和 GC-MS
Viridiflorene,GC 和 GC-MS
Anethole,GC-FID 和 GC-MS
Estragole,GC-FID 和 GC-MS
Fenchone,GC-FID 和 GC-MS
4-Methoxybenzaldehyde,GC-FID 和 GC-MS
Tetradecane,GC-FID 和 GC-MS
Phytane,GC-FID 和 GC-MS
Carvacrol,GC-FID 和 GC-MS
Geranylacetone,GC-FID 和 GC-MS
Borneol,GC-FID 和 GC-MS
Camphor,GC-FID 和 GC-MS
Nonanal,GC-FID 和 GC-MS
4-Carvomenthenol,GC-FID 和 GC-MS
Naphthalene,GC-FID 和 GC-MS
alpha-TERPINEOL,GC-FID 和 GC-MS
2-Methylbutanoic acid,GC-MS
Isobutyric acid,GC-MS
(Z)-2-hexenal,GC-MS
Allyl isothiocyanate,GC-MS
1-Isothiocyanato-3-methylbutane,GC-MS
2-phenethylisothiocyanate,GC-MS
2-Chloro-5-(methylsulfonyl)benzoic acid,GC-MS
sec-Butyl isothiocyanate,GC-MS
Benzyl isothiocyanate,GC-MS
Pentyl isothiocyanate,GC-MS
Phenethyl isothiocyanate,GC-MS
"1,3-Diallyl-2-thiourea",GC-MS
6-Undecanol,GC-MS
Benzenepropanenitrile,GC-MS
5-蒈醇,GC-MS
"6,6-二甲基-2-亚甲基原蒎烷",GC-MS
5-Methylhexanal,GC-MS
cis-3-Undecene,GC-MS
表-二环倍半兰烯,GC-MS
"7-甲基-4-亚甲基-1-异丙基-1,2,3,4,4A,5,6,8A-八氢萘",GC-MS
"1,6-二甲基-4-异丙基-1,2,3,4,4A,7,8,8A-八氢萘酚",GC-MS
"6-Hepten-3-one, 4-methyl-",GC-MS
"(1S,6S,7R)-2,6,8,8-Tetramethyltricyclo[5.2.2.01,6]undec-2-ene",GC-MS
Pacifigoria-1(6)-10-diene,GC-MS
Cyperene,GC-MS
Ginsenol,GC-MS
"1,3-Cyclooctadiene",GC-MS
"Phthalic acid, isobutyl octyl ester",GC-MS
"10,13-Octadecadienoic acid, methyl ester",GC-MS
646-30-0,GC-MS
三甲基癸醇,GC-MS
2-METHYL-7-ETHYL-4-UNDECANONE,GC-MS
"3-Undecen-1-yne, (Z)-",GC-MS
(R)-Styrene oxide,GC-MS
Petroselinic acid,GC-MS
Oxacyclohexadecan-2-one,GC-MS
Heptadecane ,GC 和 GC-MS
丁基十四烷基磺酸酯,GC 和 GC-MS
Stigmastatrienol ,GC 和 GC-MS
"5-Octadecene, (E)-",GC 和 GC-MS
Methyl 12-methyltridecanoate,GC 和 GC-MS
1-Ethoxy-2-methylpropane,GC 和 GC-MS
Nonadecane,GC 和 GC-MS
Tetratriacontane,GC 和 GC-MS
Tetradecane,GC 和 GC-MS
Eicosane,GC 和 GC-MS
Octadecane,GC 和 GC-MS
5-Hexylfuran-2(5H)-one,GC-MS
9-Decenoic acid,GC-MS
2-Hexylfuran,GC-MS
4-Decenal,GC-MS
"3,4-Dehydro-gamma-decalactone",GC-MS
"2,2,7,7-Tetramethyltricyclo[6.2.1.0(1,6)]undec-4-en-3-one",GC-MS
"epi-beta-Santalol, acetate",GC-MS
Camphene ,GC-MS
Cedrenol acetate,GC-MS
(E)-beta-Santalyl acetate,GC-MS
epi-Cubenol,GC-MS
"6,6-二甲基-2-甲撑-二环［3,3,1］庚烷-3-酮",GC-MS
Croweacin,GC-MS
Kakuol,GC-MS
Palustrol,GC-MS
beta Farnesene,GC-MS
"2,4,5-Trimethoxytoluene",GC-MS
细辛醚,GC-MS
"5-Azulenemethanol,1,2,3,3a,4,5,6,7-octahydro-a,a,3,8-tetramethyl",GC-MS
gamma-Patchoulene,GC-MS
"6,7-Epiaristolone",GC-MS
"1,2,3,4,4a,5,8,8a-Octahydro-7,8a-acetate-dimethyl-3-(1-methylvinyl)-1-naphthyl",GC-MS
Sarisan,GC-MS
Ethylhydrazine,GC-MS
Methyl piperonyl ketone,GC-MS
5-Hydroxymaltol,GC-MS
"1,2,3,4-Diepoxybutane",GC-MS
Furyl hydroxymethyl ketone,GC-MS
"1,2,3,4-四甲氧基-5-烯丙基苯（1,2,3,4-Tetramethoxy-5-allylbenzene）",GC-MS
"4,7-Dimethoxy-5-(1-propenyl)-1,3-benzodioxol",GC-MS
Bergamotene,GC-MS
Trimethoxyallylbenzene Ⅰ,GC-MS
"6,9-Heptadecadiene",GC-MS
"5-Octadecene, (E)-",GC-MS
"9-Eicosene, (E)-",GC-MS
Spiro[4.5]decane,GC-MS
"3-Eicosene, (E)-",GC-MS
D-Camphor,GC 和 GC-MS
D-Citronellol,GC 和 GC-MS
"2-Octen-1-ol, 3,7-dimethyl-",GC 和 GC-MS
"2,6-Octadien-1-ol, 3,7-dimethyl-, acetate, (2Z)-",GC 和 GC-MS
Heptadecane,GC 和 GC-MS
Hexacosane,GC 和 GC-MS
D，Vitamin E,GC-MS
Cyclotetracosane,GC-MS
4-Hydroxybenzaldehyde,GC-MS
"5,7-二甲氧基-8-甲基-4’-羟基黄烷",GC-MS
"4'-Hydroxy-5,7-dimethoxyflavan",GC-MS
(-)-Epicatechin,GC-MS
Cianidanol,GC-MS
(+)-Gallocatechin,GC-MS
Coumalic acid,GC-MS
Phenylethyl beta-D-glucopyranoside,GC-MS
苯乙酮-4-O-beta-D-葡萄糖苷,GC-MS
2-羟基-6-甲氧基苯乙酮-4-O-beta-D-葡萄糖苷,GC-MS
"3,4-二羟基肉桂醇-3-O-葡萄糖苷",GC-MS
(+-)-7-Epi-Amiteol,GC-MS
"(+)-Decahydro-alpha,alpha,4a,beta-trimethyl-beta-cyclopropa[d]naphthal-ene-7beta-methanol",GC-MS
Undecane,GC 和 GC-MS
cis-3-Hexen-1-ol,GC 和 GC-MS
6-Methylhept-5-en-2-ol,GC 和 GC-MS
6-Methyl-5-hepten-2-one,GC 和 GC-MS
3-Furanmethanol,GC-MS
"2,2'-DIFURFURYLETHER",GC-MS
3-Furylmethyl acetate,GC-MS
Imidazoleacetic acid,GC-MS
Furfuryl formate,GC-MS
3-Furaldehyde,GC-MS
Gamma-nonalactone,GC-MS
"3,3,6-Trimethylhepta-1,5-dien-4-one",GC 和 GC-MS
alpha-Thujone,GC 和 GC-MS
Chamazulene,GC 和 GC-MS
Precocene I,GC 和 GC-MS
"(S,1Z,6Z)-8-Isopropyl-1-methyl-5-methylenecyclodeca-1,6-diene",GC 和 GC-MS
beta-Cadinene,GC 和 GC-MS
cis-Nerolidol,GC 和 GC-MS
2-Carene,GC 和 GC-MS
Coumarin,GC 和 GC-MS
Bornyl formate,GC 和 GC-MS
"2,2-Dimethyl-7-methoxy-6-vinylchromene",GC 和 GC-MS
Precocene II,GC 和 GC-MS
beta-Elemenone,GC 和 GC-MS
3-Octen-1-OL,GC 和 GC-MS
"Naphthalene, 1,2,3,4,4a,5,6,8a-octahydro-4a,8-dimethyl-2-(1-methylethylidene)-, (4aR-trans)-",GC 和 GC-MS
(+)-Borneol,GC-MS
(+)-cis-Sabinol,GC-MS
Cyclohexanol,GC-MS
"2,6'-二羟基-3'-(2-羟基-3-甲基-3-丁烯基)-4'-甲氧基查耳酮",GC-MS
(2S)-Isoxanthohumol,GC-MS
Helichromanochalcone,GC-MS
Apigenin,GC-MS
Luteolin,GC-MS
Tricin,GC-MS
Astragalin,GC-MS
Tiliroside,GC-MS
山萘酚-3-O-[6"-O-(trans-p- 肉桂酰基)-4"-0-乙酰基]-beta-D-葡萄糖苷,GC-MS
"4,6-二羟基-7-异丁酰基-5-异戊 二烯基-2(3H)-苯并呋喃酮",GC-MS
7-O-(beta-D-葡萄糖苷)-5-羟基-1(3H)-异苯并呋喃酮,GC-MS
香青醇,GC-MS
7-Methoxyplatypterophthalide,GC-MS
platypterophthalide,GC-MS
Loliolide,GC-MS
Quercetin,GC-MS
Astragaloside,GC-MS
Isorhamnetin,GC-MS
"5,7-Dihydroxy-3,6,8-trimethoxyflavone",GC-MS
Hydrastine,GC-MS
Galangin 3-methyl ether,GC-MS
Gnaphaliin,GC-MS
"5,6-Dihydroxy-3,7-dimethoxyflavone",GC-MS
"3,5-Dihydroxy-6,7,8-trimethoxyflavone",GC-MS
Ursolic acid,GC-MS
坡曼酸,GC-MS
三甲基-8-亚甲基-十氢化-2-萘甲醇,GC-MS
"1,8,11-Heptadecatriene",GC-MS
1-Pentadecanol,GC-MS
Benzene,GC-MS
9，10-脱氢异长叶烯,GC-MS
Diethyl oxalate,GC-MS
Ketopelenolide b,GC-MS
Triterpenoids,GC-MS
alkaloids,GC-MS
cis-3-Hexenyl isobutyrate,GC-MS
Santolina triene,GC-MS
"3,3,6-Trimethylhepta-1,5-dien-4-one",GC-MS
"trans-2-metnyl-6-methylene-3,7-octadicn-2-ol",GC-MS
"4,7,7-Trimethylbicyclo[2.2.1]heptan-2-one",GC-MS
7-(Dimethylamino)-4-methylcoumarin,GC-MS
"3－亚甲基－1,7,7－三甲基双环［2,2,1］庚烷－2－基－环戊烷甲酸酯",GC-MS
"1,2,3,4,4a,5,6,8a-八氢-7-甲基-4-亚甲基-1-(1-甲基乙基)-萘",GC-MS
"十氢化-1,1,7-三甲基-4-亚甲基-1H-环丙烷［E］",GC-MS
"2,2,3,3-Tetramethylhexane",GC-MS
"2,4a,5,6,7,8-六氢-3,5,5,9-四甲基-1H-苯骈环庚烯",GC-MS
"2,4-Dimethylhexane",GC-MS
"3,5-Dihydroxybenzoic acid",GC-MS
Methylcycloheptane,GC-MS
"1H-Indazole, 4,5,6,7-tetrahydro-7-methyl-",GC-MS
"3-Undecene, 9-methyl-, (Z)-",GC-MS
"4-Hexen-3-ol, 2,5-dimethyl-",GC-MS
Isopiperitenone,GC-MS
"1,3-Cyclopentadiene, 5,5-dimethyl-1-ethyl-",GC-MS
"1,3-Cyclohexadiene, 5-(1,1-dimethylethyl)-",GC-MS
"Azulen-2-ol, 1,4-dimethyl-7-(1-methylethyl)-",GC-MS
"3,5-Heptadienal, 2-ethylidene-6-methyl-",GC-MS
"2,2-Dimethyl-1-hexanol",GC-MS
"2,2,5,5-Tetramethyl-3-hexanone",GC-MS
2-Ethyl-2-methylbutanoic acid,GC-MS
"2,5-Dimethylpyridine",GC-MS
"2,4-Dimethylbenzyl alcohol",GC-MS
1-Isopropenyl-3-isopropylbenzene,GC-MS
"2,5-Etheno[4.2.2]propella-3,7,9-triene",GC-MS
T-cadinene,GC-MS
2-檀香烯醇,GC-MS
"4,5-Dimethyl-4-phenyl-2-cyclohexen-1-one",GC-MS
4-Ethyl-1-octyn-3-ol,GC-MS
2-Chlorobenzaldehyde,GC-MS
Davanone,GC-MS
二甲基-甲撑基环庚,GC-MS
"3,3,6-三甲基-1,5-庚二烯醇-2",GC-MS
"3,3,6-三甲基-1,4-庚二烯醇-6",GC-MS
CID 91885002,GC-MS
神圣亚麻三烯,GC-MS
"桥环[2,2,1]萜烯",GC-MS
桥环萜酮,GC-MS
"1-Ethyl-3,5-dimethylbenzene",GC-MS
"3,3,6-三甲基-1,5-庚二烯酮-4",GC-MS
Isoelemicin,GC、GC-MS
4-Carvomenthenol,GC、GC-MS
Rose oxide,GC、GC-MS
"3-Isopropenyl-5,5-dimethylcyclopentene",GC、GC-MS
(-)-beta-Sesquiphellandrene,GC、GC-MS
Methylisoeugenol,GC、GC-MS
内冰片,GC-MS
"(1R-(1R,4Z,9S))-4,11,11-三甲基-8-亚甲基二环（7?2?0）-4-十一碳烯",GC-MS
"2,6-二甲基-6-(4-甲基-3-戊烯基)-二环 [3.1.1]-2-庚烯",GC-MS
